period,p10,p25,p50,p75,p90
2021-03,0.0,0.0,0.008061913475538598,0.511068241970149,1.0
2021-04,0.0,0.0,0.012291715607585758,0.5763596024064186,1.0
2021-05,0.0,0.0,0.008542246642472025,0.5395630055394072,1.0
2021-06,0.0,0.0,0.009337843156013537,0.5274633487056903,1.0
2021-07,0.0,0.0,0.009637210465211158,0.5323243749473993,1.0
2021-08,0.0,0.0,0.00731300777988826,0.5009742487359632,1.0
2021-09,0.0,0.0,0.007074556042849954,0.5123958762886598,1.0
2021-10,0.0,0.0,0.009438277746908395,0.5282267550934477,1.0
2021-11,0.0,0.0,0.007971621665884943,0.5370160912292223,1.0
2021-12,0.0,0.0,0.008291591065345388,0.5000519210799584,1.0
2022-01,0.0,0.0,0.004166850913593234,0.4761232651140908,1.0
2022-02,0.0,0.0,0.008521576946725052,0.5509398559734362,1.0
2022-03,0.0,0.0,0.013911188218010089,0.565099420888511,1.0
2022-04,0.0,0.0,0.01617631243485905,0.5799624070615297,1.0
2022-05,0.0,0.0,0.013340716358527906,0.5880596091053992,1.0
2022-06,0.0,0.0,0.01175430238347462,0.5725978322949159,1.0
2022-07,0.0,0.0,0.009832692487197961,0.5425160310595447,1.0
2022-08,0.0,0.0,0.009266287743041154,0.5309399072019474,1.0
2022-09,0.0,0.0,0.010805129831764345,0.5423006819501537,1.0
2022-10,0.0,0.0,0.013788358923748339,0.5632138309787601,1.0
2022-11,0.0,0.0,0.0140247555523669,0.5907618591953074,1.0
2022-12,0.0,0.0,0.013602577938686966,0.5964093517629457,1.0
