hs_section_name,date,year,month,weighted_share_rerouted
Articles of wood,2018-09-01,2018,9,0.6913418525591379
Articles of wood,2018-10-01,2018,10,1.481311960130768
Articles of wood,2018-11-01,2018,11,1.7245235043677132
Articles of wood,2018-12-01,2018,12,0.8150459122994134
Articles of wood,2019-01-01,2019,1,3.0742469615189063
Articles of wood,2019-02-01,2019,2,2.231092286242082
Articles of wood,2019-03-01,2019,3,0.8927456423104045
Articles of wood,2019-04-01,2019,4,1.4666718939893069
Beverages and tobacco,2014-01-01,2014,1,0.6794357790711855
Beverages and tobacco,2014-02-01,2014,2,2.1501374829857114
Beverages and tobacco,2014-03-01,2014,3,0.0
Beverages and tobacco,2014-04-01,2014,4,0.035961383331678295
Beverages and tobacco,2014-05-01,2014,5,0.7489962424237454
Beverages and tobacco,2014-06-01,2014,6,0.6794357790711855
Beverages and tobacco,2014-07-01,2014,7,0.15292221922449267
Beverages and tobacco,2014-08-01,2014,8,0.0
Beverages and tobacco,2014-09-01,2014,9,0.019340168697111228
Beverages and tobacco,2014-10-01,2014,10,0.07706680516665701
Beverages and tobacco,2014-11-01,2014,11,0.07507401621446186
Beverages and tobacco,2014-12-01,2014,12,0.0
Beverages and tobacco,2015-01-01,2015,1,0.0
Beverages and tobacco,2015-02-01,2015,2,0.0
Beverages and tobacco,2015-03-01,2015,3,0.07763591721323611
Beverages and tobacco,2015-04-01,2015,4,0.020096379332478844
Beverages and tobacco,2015-05-01,2015,5,0.0
Beverages and tobacco,2015-06-01,2015,6,0.19549768918586755
Beverages and tobacco,2015-07-01,2015,7,0.0
Beverages and tobacco,2015-08-01,2015,8,0.7347534758886483
Beverages and tobacco,2015-09-01,2015,9,0.0
Beverages and tobacco,2015-10-01,2015,10,3.536735237016684
Beverages and tobacco,2015-11-01,2015,11,0.023110836989982945
Beverages and tobacco,2015-12-01,2015,12,0.22647858438425578
Beverages and tobacco,2016-01-01,2016,1,0.006488036338414703
Beverages and tobacco,2016-02-01,2016,2,0.46316284841925087
Beverages and tobacco,2016-03-01,2016,3,1.2478481989351367
Beverages and tobacco,2016-04-01,2016,4,0.0
Beverages and tobacco,2016-05-01,2016,5,0.3938950103116736
Beverages and tobacco,2016-06-01,2016,6,0.016626502026252432
Beverages and tobacco,2016-07-01,2016,7,0.060448227477086065
Beverages and tobacco,2016-08-01,2016,8,0.15033296738211777
Beverages and tobacco,2016-09-01,2016,9,0.0
Beverages and tobacco,2016-10-01,2016,10,0.00015015218586269337
Beverages and tobacco,2016-11-01,2016,11,0.05531769681746283
Beverages and tobacco,2016-12-01,2016,12,0.16861483481043757
Beverages and tobacco,2017-01-01,2017,1,0.1489879641074084
Beverages and tobacco,2017-02-01,2017,2,0.05642667108618722
Beverages and tobacco,2017-03-01,2017,3,0.10106117037244454
Beverages and tobacco,2017-04-01,2017,4,0.1444593303890861
Beverages and tobacco,2017-05-01,2017,5,0.21216033980841392
Beverages and tobacco,2017-06-01,2017,6,0.0525651147649617
Beverages and tobacco,2017-07-01,2017,7,0.0
Beverages and tobacco,2017-08-01,2017,8,0.22182991823684156
Beverages and tobacco,2017-09-01,2017,9,0.0
Beverages and tobacco,2017-10-01,2017,10,0.0
Beverages and tobacco,2017-11-01,2017,11,0.048903115903263676
Beverages and tobacco,2017-12-01,2017,12,0.1531334642813515
Beverages and tobacco,2018-01-01,2018,1,0.06112889247432606
Beverages and tobacco,2018-02-01,2018,2,0.13439106105514895
Beverages and tobacco,2018-03-01,2018,3,0.0
Beverages and tobacco,2018-04-01,2018,4,0.05839090289228454
Beverages and tobacco,2018-05-01,2018,5,0.0
Beverages and tobacco,2018-06-01,2018,6,0.05774924468758542
Beverages and tobacco,2018-07-01,2018,7,0.08735213808815029
Beverages and tobacco,2018-08-01,2018,8,0.10086267354453941
Beverages and tobacco,2018-09-01,2018,9,0.18049554636739212
Beverages and tobacco,2018-10-01,2018,10,0.8206361393479717
Beverages and tobacco,2018-11-01,2018,11,0.008288643964473392
Beverages and tobacco,2018-12-01,2018,12,0.04746478953075675
Beverages and tobacco,2019-01-01,2019,1,0.06110675374161782
Beverages and tobacco,2019-02-01,2019,2,0.780755648677138
Beverages and tobacco,2019-03-01,2019,3,0.7681413990025935
Beverages and tobacco,2019-04-01,2019,4,0.0
Chemicals,2014-01-01,2014,1,4.513900496259887
Chemicals,2014-02-01,2014,2,4.830639415423814
Chemicals,2014-03-01,2014,3,5.700524816079918
Chemicals,2014-04-01,2014,4,5.412204145127306
Chemicals,2014-05-01,2014,5,5.806923059006775
Chemicals,2014-06-01,2014,6,5.331865331906155
Chemicals,2014-07-01,2014,7,6.474835045316672
Chemicals,2014-08-01,2014,8,6.2572569648301934
Chemicals,2014-09-01,2014,9,4.57251436583792
Chemicals,2014-10-01,2014,10,4.482269288295187
Chemicals,2014-11-01,2014,11,1.759498486139638
