hs6,hs_section_name,weight_2014
210120,Beverages and tobacco,0.01633094450664579
210210,Beverages and tobacco,0.0021659568515371374
210220,Beverages and tobacco,0.004835858198166885
210230,Beverages and tobacco,2.4860619364636872e-06
210320,Beverages and tobacco,1.86608298759029e-05
210390,Beverages and tobacco,0.023110836989982945
210410,Beverages and tobacco,0.005571762220346178
210610,Beverages and tobacco,0.003703348907781294
210690,Beverages and tobacco,0.05255181009719051
220110,Beverages and tobacco,1.0481253791631843e-05
220190,Beverages and tobacco,2.7027394486298083e-05
220210,Beverages and tobacco,0.0040390927963203154
220290,Beverages and tobacco,0.01211921859024176
220300,Beverages and tobacco,0.004743136369601317
220410,Beverages and tobacco,1.419758564092336e-05
220421,Beverages and tobacco,7.073062365891953e-05
220600,Beverages and tobacco,0.0011662755638440167
220710,Beverages and tobacco,6.124994078284327e-05
220820,Beverages and tobacco,0.00015387072262398768
220830,Beverages and tobacco,6.210987965925256e-05
220890,Beverages and tobacco,0.007651182969602566
220900,Beverages and tobacco,0.0012557159781628384
230120,Beverages and tobacco,7.838204830728566e-05
230230,Beverages and tobacco,8.630640328347644e-06
230250,Beverages and tobacco,0.006506676203699586
230310,Beverages and tobacco,0.00791259553342112
230690,Beverages and tobacco,1.6730004064364897e-05
230910,Beverages and tobacco,0.06528529380864109
230990,Beverages and tobacco,0.06130004172807823
240120,Beverages and tobacco,0.0005512505087643979
240210,Beverages and tobacco,1.7193568934143376e-06
240220,Beverages and tobacco,0.0060176762066335866
240391,Beverages and tobacco,0.00010259003083840295
240399,Beverages and tobacco,0.00031014729483618523
250100,Mineral products,0.0045984836035237505
250410,Mineral products,0.04825214744903911
250490,Mineral products,0.002730078353680741
250510,Mineral products,0.001695648892928059
250590,Mineral products,0.0017465069645705845
250610,Mineral products,0.007529672214163001
250700,Mineral products,0.0002784765127994804
250810,Mineral products,0.011534412515228892
250830,Mineral products,0.004271452856153646
250840,Mineral products,0.0004344742329236371
250860,Mineral products,0.002091642596668689
251110,Mineral products,0.2672677517063395
251200,Mineral products,2.0756033921293504e-05
251511,Mineral products,1.2150962646991502e-05
251512,Mineral products,0.0012675536259673247
251520,Mineral products,0.000746557328135921
251611,Mineral products,0.001199713645455967
251612,Mineral products,0.002040376019816717
251690,Mineral products,0.0008169227639299731
251710,Mineral products,0.0036201285117034555
251741,Mineral products,0.00011374141202144366
251749,Mineral products,0.0009658055471673247
251990,Mineral products,0.21739564790656163
252010,Mineral products,6.564199094311866e-06
